timestamp_ms,frame_id,is_valid,lateral_deviation,yaw_angle,curvature_0,curvature_1,curvature_2,curvature_3,velocity,prev_steering,expert_steering,servo_command,lane_width_px
1775441654694,70,1,0.00200005,-0.0484729,0.0648606,0.0648444,0.0648277,0.0648104,0.04,1.2389,1.18258,98,350.68
1775441654831,71,1,0.00251162,-0.0512088,0.0536366,0.0536249,0.053613,0.0536007,0.04,1.18258,1.21944,98,350.983
1775441654960,72,1,0.00286205,-0.05112,0.0554849,0.0554724,0.0554596,0.0554465,0.04,1.21944,1.19315,98,351.143
1775441655109,73,1,0.00357653,-0.0519587,0.0498971,0.0498869,0.0498764,0.0498656,0.04,1.19315,1.16562,98,351.617
1775441655234,74,1,0.00334941,-0.0497266,0.0532672,0.053256,0.0532446,0.0532328,0.04,1.16562,1.1215,98,351.646
1775441655360,75,1,0.000790677,-0.0476875,0.0663543,0.0663376,0.0663203,0.0663024,0.04,1.1215,1.24506,98,351.178
1775441655493,76,1,-0.00771917,-0.0504566,0.0510934,0.051083,0.0510723,0.0510613,0.04,1.24506,1.90492,99,353.224
1775441655623,77,1,-0.00781982,-0.0499484,0.0641696,0.0641532,0.0641364,0.0641189,0.04,1.90492,1.9002,99,354.601
1775441655792,78,1,-0.0163389,-0.0440045,0.0819566,0.0819329,0.0819082,0.0818823,0.04,1.9002,2.33039,100,353.826
1775441655908,79,1,-0.0143222,-0.0416202,0.0977802,0.0977482,0.0977143,0.0976785,0.04,2.33039,2.12928,100,354.748
1775441656031,80,1,-0.0143556,-0.0393486,0.108043,0.108006,0.107967,0.107924,0.04,2.12928,2.07177,100,355.213
1775441656157,81,1,-0.0133223,-0.0415258,0.103472,0.103436,0.103398,0.103358,0.04,2.07177,2.05856,100,355.675
1775441656287,82,1,-0.0136526,-0.0405185,0.106234,0.106197,0.106158,0.106116,0.04,2.05856,2.05457,100,355.745
1775441656410,83,1,-0.0135599,-0.0410011,0.105338,0.105302,0.105263,0.105221,0.04,2.05457,2.06108,100,355.64
1775441656532,84,1,-0.0135449,-0.0404787,0.105665,0.105629,0.10559,0.105549,0.04,2.06108,2.04598,100,355.927
1775441656660,85,1,-0.0134026,-0.039671,0.10996,0.109921,0.10988,0.109836,0.04,2.04598,2.015,99,356.297
1775441656799,86,1,-0.0128199,-0.0414143,0.103064,0.103029,0.102991,0.102951,0.04,2.015,2.0208,99,356.795
